pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
Kepler-235 d,Kepler-235,TIC 120765183,Gaia DR2 2100082125479729792,Transit,2014,Space,3996,-1.253,0.957426494
Kepler-235 e,Kepler-235,TIC 120765183,Gaia DR2 2100082125479729792,Transit,2014,Space,3996,-1.253,0.957426494
1RXS J160929.1-210524 b,1RXS J160929.1-210524,TIC 48964101,Gaia DR2 6243841249531772800,Imaging,2008,Ground,3993,-0.403,0.957339788
HIP 12961 b,HIP 12961,TIC 204614039,Gaia DR2 5077642283022422656,Radial Velocity,2010,Ground,3986,-1.003,0.95713722
TOI-1728 b,TOI-1728,TIC 285048486,Gaia DR2 1094545653447816064,Transit,2020,Space,3980,-1.056,0.956963307
K2-154 b,K2-154,TIC 175371068,Gaia DR2 3683121446312149504,Transit,2018,Space,3978,-1.018,0.956905278
K2-154 c,K2-154,TIC 175371068,Gaia DR2 3683121446312149504,Transit,2018,Space,3978,-1.018,0.956905278
TOI-1759 b,TOI-1759,TIC 408636441,Gaia DR2 2216420110788943744,Transit,2022,Space,3972,-1.051,0.956731015
PDS 70 b,PDS 70,TIC 179413040,Gaia DR2 6110141563309613056,Imaging,2018,Ground,3972,-0.456,0.956731015
LP 714-47 b,LP 714-47,TIC 70899085,Gaia DR2 3189306030970782208,Transit,2020,Space,3950,-1.125,0.95608979
Kepler-1455 b,Kepler-1455,TIC 27014562,Gaia DR2 2135220283720198528,Transit,2016,Space,3950,-1.247,0.95608979
Kepler-1410 b,Kepler-1410,TIC 122450207,Gaia DR2 2052857547022629888,Transit,2016,Space,3950,-1.158,0.95608979
K2-152 b,K2-152,TIC 56754291,Gaia DR2 3596508242468505216,Transit,2018,Space,3940,-1.06,0.955797143
HD 238090 b,HD 238090,TIC 224289449,Gaia DR2 1573086442800134272,Radial Velocity,2020,Ground,3933,-1.154,0.955591847
Kepler-395 b,Kepler-395,TIC 270520765,Gaia DR2 2126465903421535744,Transit,2014,Space,3931,-1.194,0.955533124
Kepler-395 c,Kepler-395,TIC 270520765,Gaia DR2 2126465903421535744,Transit,2014,Space,3931,-1.194,0.955533124
TOI-532 b,TOI-532,TIC 144700903,Gaia DR2 3340265717587057536,Transit,2021,Space,3927,-1.095,0.955415589
K2-286 b,K2-286,TIC 297373047,Gaia DR2 6264513270727342080,Transit,2018,Space,3926,-1.046,0.955386186
K2-155 c,K2-155,TIC 17307715,Gaia DR2 145333927996558976,Transit,2018,Space,3919,-1.229,0.955180158
GJ 740 b,GJ 740,TIC 227642705,Gaia DR2 4282578724832056576,Radial Velocity,2021,Ground,3913,-1.206,0.95500327
EPIC 211822797 b,EPIC 211822797,TIC 337632006,Gaia DR2 658607950370340608,Transit,2016,Space,3880,-1.153,0.954025508
K2-123 b,K2-123,TIC 197249801,Gaia DR2 685065155072248192,Transit,2017,Space,3880,-1.143,0.954025508
Gl 378 b,Gl 378,TIC 252470070,Gaia DR2 823228721066990720,Radial Velocity,2019,Ground,3879,-1.222,0.953995749
TOI-1235 b,TOI-1235,TIC 103633434,Gaia DR2 1070387905514406400,Transit,2020,Space,3872,-1.097,0.953787222
GJ 3942 b,GJ 3942,TIC 162494287,Gaia DR2 1428030622526979968,Radial Velocity,2017,Ground,3867,-1.12,0.953638044
GJ 720 A b,GJ 720 A,TIC 122958010,Gaia DR2 2118424350249708800,Radial Velocity,2021,Ground,3837,-1.217,0.952738902
GJ 9689 b,GJ 9689,TIC 87942223,Gaia DR2 1803475188714186368,Radial Velocity,2020,Ground,3836,-1.2,0.952708809
K2-3 b,K2-3,TIC 173103335,Gaia DR2 3796690380302214272,Transit,2015,Space,3835,-1.15,0.952678709
K2-3 c,K2-3,TIC 173103335,Gaia DR2 3796690380302214272,Transit,2015,Space,3835,-1.15,0.952678709
K2-3 d,K2-3,TIC 173103335,Gaia DR2 3796690380302214272,Transit,2015,Space,3835,-1.15,0.952678709
GJ 685 b,GJ 685,TIC 219780306,Gaia DR2 1439069444391326208,Radial Velocity,2019,Ground,3816,-1.253,0.952105309
K2-240 b,K2-240,TIC 432247315,Gaia DR2 6257625719430982016,Transit,2018,Space,3810,-1.276,0.951923642
K2-240 c,K2-240,TIC 432247315,Gaia DR2 6257625719430982016,Transit,2018,Space,3810,-1.276,0.951923642
Gl 49 b,Gl 49,TIC 256419669,Gaia DR2 522863309964987520,Radial Velocity,2019,Ground,3805,-1.306,0.951772035
L 168-9 b,L 168-9,TIC 234994474,Gaia DR2 6491962296196145664,Transit,2020,Space,3800,-1.172,0.951620228
TOI-1278 b,TOI-1278,TIC 163539739,Gaia DR2 1867491607542113536,Transit,2021,Space,3799,-1.212,0.951589842
HATS-75 b,HATS-75,TIC 44737596,Gaia DR2 5082914338199586560,Transit,2021,Ground,3790.4,-1.197,0.951328197
K2-26 b,K2-26,TIC 83181153,Gaia DR2 3425691139632545152,Transit,2016,Space,3785,-1.31,0.951163605
GJ 96 b,GJ 96,TIC 409527090,Gaia DR2 354077348697687424,Radial Velocity,2018,Ground,3785,-1.052,0.951163605
HATS-74 A b,HATS-74 A,TIC 219189765,Gaia DR2 3545653561942122368,Transit,2021,Ground,3776.9,-1.216,0.950916276
Kepler-186 f,Kepler-186,TIC 268159861,Gaia DR2 2079000330051813504,Transit,2014,Space,3755,-1.26,0.950244906
Kepler-438 b,Kepler-438,TIC 336266673,Gaia DR2 2104675781979819776,Transit,2015,Space,3748,-1.357,0.950029486
K2-149 b,K2-149,TIC 429035886,Gaia DR2 2557342829345854208,Transit,2018,Space,3745,-1.31,0.949937041
GJ 3998 b,GJ 3998,TIC 459558974,Gaia DR2 4540061704988054400,Radial Velocity,2016,Ground,3722,-1.387,0.94922582
GJ 3998 c,GJ 3998,TIC 459558974,Gaia DR2 4540061704988054400,Radial Velocity,2016,Ground,3722,-1.387,0.94922582
K2-153 b,K2-153,TIC 397056271,Gaia DR2 3700937760929835648,Transit,2018,Space,3720,-1.367,0.949163767
GJ 3138 b,GJ 3138,TIC 632528291,Gaia DR2 5144740907820131840,Radial Velocity,2017,Ground,3717,-1.347,0.949070626
GJ 3138 c,GJ 3138,TIC 632528291,Gaia DR2 5144740907820131840,Radial Velocity,2017,Ground,3717,-1.347,0.949070626
GJ 3138 d,GJ 3138,TIC 632528291,Gaia DR2 5144740907820131840,Radial Velocity,2017,Ground,3717,-1.347,0.949070626
TOI-776 b,TOI-776,TIC 306996324,Gaia DR2 3460438662009633408,Transit,2020,Space,3709,-1.31,0.948821879
TOI-776 c,TOI-776,TIC 306996324,Gaia DR2 3460438662009633408,Transit,2020,Space,3709,-1.31,0.948821879
AU Mic b,AU Mic,TIC 441420236,Gaia DR2 6794047652729201024,Transit,2020,Space,3700,-1.046,0.948541398
GJ 887 b,GJ 887,TIC 155315739,Gaia DR2 6553614253923452800,Radial Velocity,2020,Ground,3688,-1.434,0.948166359
GJ 887 c,GJ 887,TIC 155315739,Gaia DR2 6553614253923452800,Radial Velocity,2020,Ground,3688,-1.434,0.948166359
GJ 536 b,GJ 536,TIC 119147875,Gaia DR2 3657653114880309248,Radial Velocity,2016,Ground,3685,-1.377,0.948072409
K2-89 b,K2-89,TIC 440687723,Gaia DR2 63206117414110848,Transit,2016,Space,3677,-1.327,0.9478215
K2-117 b,K2-117,TIC 458686847,Gaia DR2 597829077890316928,Transit,2017,Space,3676,-1.357,0.947790098
K2-117 c,K2-117,TIC 458686847,Gaia DR2 597829077890316928,Transit,2017,Space,3676,-1.357,0.947790098
Kepler-705 b,Kepler-705,TIC 122066949,Gaia DR2 2102244967931917184,Transit,2016,Space,3674,-1.385,0.947727269
K2-147 b,K2-147,TIC 398275886,Gaia DR2 6764974194470777600,Transit,2018,Space,3672,-1.292,0.947664405
K2-104 b,K2-104,TIC 175194958,Gaia DR2 664292459846946560,Transit,2016,Space,3660,-1.434,0.947286502
TOI-530 b,TOI-530,TIC 387690507,Gaia DR2 3353218995355814656,Transit,2021,Space,3659,-1.31,0.947254954
K2-133 e,K2-133,TIC 150096001,Gaia DR2 148080473682357376,Transit,2019,Space,3655,-1.479,0.947128677
K2-133 b,K2-133,TIC 150096001,Gaia DR2 148080473682357376,Transit,2017,Space,3655,-1.479,0.947128677
K2-133 c,K2-133,TIC 150096001,Gaia DR2 148080473682357376,Transit,2017,Space,3655,-1.479,0.947128677
